timestamp,active_window,highlight,ocr_text
2026-06-14T20:59:48,Search,© > GD > TWePC > Windows (C) > apptation monitoring > Sch application monitoring | © wow @ U ice) D preven,© > GD > TWePC > Windows (C) > apptation monitoring > Sch application monitoring | © wow @ U ice) D preven
2026-06-14T20:59:50,Search,© 9 + © [GDS RER || wectaie Dy lopacaeniannaes Sas a | Bi documents # Dew Pinned ‘Show all ¥ | rane 9 Macey | mown | Raion Go ® @ ©} @ | Dcatiey # Ben,© 9 + © [GDS RER || wectaie Dy lopacaeniannaes Sas a | Bi documents # Dew Pinned ‘Show all ¥ | rane 9 Macey | mown | Raion Go ® @ ©} @ | Dcatiey # Bence “Microsoft Store Photos. P ‘Amazoncom — ExpressVPN— Dropbox | Be laptop moni # eons | ceesso|| So | con] Qos | ote] Oss ern ite | pOeecer||| D2: | DOr Brn a a | > @oredrive ys | SC |) tent mt | > window) anal — me A 2 <= c | yeti eo s | AO 0 NOHO ocr | BQ0G0200%Pomta CREAN
2026-06-14T20:59:56,,"1m optaonmentorng x + | cater, | te arp monte | me ams 2260 | me orpicstons | > wnowe | > new eased | © D> TWsPC > Windows(C) > appemlon menitring > |","1m optaonmentorng x + | cater, | te arp monte | me ams 2260 | me orpicstons | > wnowe | > new eased | © D> TWsPC > Windows(C) > appemlon menitring > | FB pinay poet | BD rcxove | PB secondo at | 1B siases exoe | Bevage | Bi se neseios | BQ0G0@00%PoOmtdOCREEN | Sot ew = | ‘Rosas | yon Soacefile | Pron ae 90. | yon Soacefie | yon Soa ile | yon Soa fie | yon Soc ie | yon Soc ile | Wen Bateite | yon Source file | Sad on ho a | © pice"
2026-06-14T20:59:57,OneNote,No readable content found.,
2026-06-14T21:01:38,my & not - OneNote,primary bucket,primary bucket
2026-06-14T21:01:40,primary_bucket - Excel,primary bucket,primary bucket
2026-06-14T21:01:48,my & not - OneNote,No readable content found.,
2026-06-14T21:01:52,application_monitoring - File Explorer,1m opteaionmentorng x + | > @onive | > @onoive | v mmsrc | > wnowe | > new eased | © D> TsPC > Windows(C) > appelon menitring > | Sot ew = | Nome ate ,1m opteaionmentorng x + | > @onive | > @onoive | v mmsrc | > wnowe | > new eased | © D> TsPC > Windows(C) > appelon menitring > | Sot ew = | Nome ate meat we ae | Rew \eos2ms200—aWrie or | MB scivy.o9 Meoszms2101— MewoReelCa. 13K | Foor meine \eos2ms2101 Mion alco. 2K | Bevan 12062061715 PYbonFetnoco 18K | Bee pease ‘pam 1024—Pyonsouce le SAK | Bowe 2052061812 FYbonSwcfie a | Fcanog 14052062190 McsoREelCo. 39K | Beene 2052061812 AYbonSoucefle 4K | Boog ozs 182 FybonSouce ile ae | B casecas 130521251025 PybonSowcefile 9K | Mi tep Mentor 120520261735 Wenows Baten fle 11 | Bron 2062061812 AYbonSowcefie ae | Bree teos2ms2101 aa saetie 2000108 | FB pinay buet 140526204 Mion alco. 18 | Brome OGRE TAG Mann euce 7 | Micon ain 120520261735 Wanows Batnfle 6X | 1B siases exoe 12052061735 Maou Sauce. ae | Bsoage ozs 182 FybonSouce ie a0 | Bi se neseios ziosamsism rile noe | ZFQog@G00PomesGCRBravs | ‘Search appleation monitoring | 09 SN eae
2026-06-14T21:02:05,Windows (C:) - File Explorer,> Windows) > ‘Search Windows (2) a | DNs 8 we oe OD Preiew | Saeed poet Roane ess inst ‘stip schomik Pent? polea a Pogam Renan Peogs | a es SSeS Ss SS,> Windows) > ‘Search Windows (2) a | DNs 8 we oe OD Preiew | Saeed poet Roane ess inst ‘stip schomik Pent? polea a Pogam Renan Peogs | a es SSeS Ss SS | ene omit ots MM vn RI eee oor facins acini | = oc F one ie | ‘s2hems | Tinem selected | es | 200 eae tte
2026-06-14T21:02:09,laptop monitering - File Explorer,> @onoive | v mmsrc | > wnowe | > new eased | Mi tep Mentor | Breer | inertia | ZFQog@o0evPomesGCeravs | Sot ew = | > TWePC > Windows’) > laptop monte,> @onoive | v mmsrc | > wnowe | > new eased | Mi tep Mentor | Breer | inertia | ZFQog@o0evPomesGCeravs | Sot ew = | > TWePC > Windows’) > laptop monteing > | yon Soacefile | Pron ae 90. | yon Soacefie | yon Soa ile | yon Soa fie | yon Soc ie | yon Soc file | ‘Search top monitring a | AO Moa m yt
